year,scenario,asset_id,category,condition,failure_probability,failure_consequence,cyber_physical_dependency,risk_score,maintenance_action_score,resilience_score,equity_priority,redundancy
1,Sensor-rich but underfunded,substation_7,power,68.88,12.091,58.572,57.48,32.898,27.061,32.743,70.0,42.0
1,Sensor-rich but underfunded,transit_signal_core,transport,70.91,7.505,48.329,60.48,27.091,25.316,34.551,58.0,48.0
1,Sensor-rich but underfunded,stormwater_pump_south,stormwater,52.678,21.661,62.834,46.48,38.553,28.585,26.798,76.0,30.0
1,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,66.701,12.553,58.237,50.48,32.335,27.488,32.118,88.0,38.0
1,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,80.63,1.669,43.986,44.48,20.761,24.317,39.907,74.0,55.0
1,Sensor-rich but underfunded,wastewater_lift_station,wastewater,58.836,17.806,58.325,47.48,34.955,27.485,28.933,68.0,32.0
1,Sensor-rich but underfunded,public_broadband_hub,digital,74.978,4.971,51.008,66.48,27.235,26.034,34.041,80.0,40.0
1,Sensor-rich but underfunded,hospital_access_corridor,transport,60.918,12.423,62.35,39.48,32.603,27.489,30.144,86.0,28.0
2,Sensor-rich but underfunded,bridge_north,transport,61.745,13.134,53.943,38.48,29.952,26.116,31.427,62.0,35.0
2,Sensor-rich but underfunded,water_main_east,water,55.794,19.321,61.695,41.48,36.368,28.255,27.411,82.0,25.0
2,Sensor-rich but underfunded,substation_7,power,67.763,12.516,58.572,57.48,33.132,27.117,32.437,70.0,42.0
2,Sensor-rich but underfunded,transit_signal_core,transport,69.822,7.919,48.329,60.48,27.318,25.369,34.254,58.0,48.0
2,Sensor-rich but underfunded,stormwater_pump_south,stormwater,51.36,22.162,62.834,46.48,38.829,28.65,26.438,76.0,30.0
2,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,65.405,13.045,58.237,50.48,32.606,27.552,31.764,88.0,38.0
2,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,79.263,2.188,43.986,44.48,21.047,24.384,39.533,74.0,55.0
2,Sensor-rich but underfunded,wastewater_lift_station,wastewater,57.675,18.247,58.325,47.48,35.198,27.543,28.616,68.0,32.0
2,Sensor-rich but underfunded,public_broadband_hub,digital,73.959,5.358,51.008,66.48,27.448,26.084,33.762,80.0,40.0
2,Sensor-rich but underfunded,hospital_access_corridor,transport,59.838,12.834,62.35,39.48,32.829,27.542,29.849,86.0,28.0
3,Sensor-rich but underfunded,bridge_north,transport,60.621,13.561,53.943,38.48,30.187,26.172,31.12,62.0,35.0
3,Sensor-rich but underfunded,water_main_east,water,54.694,19.739,61.695,41.48,36.598,28.309,27.111,82.0,25.0
3,Sensor-rich but underfunded,substation_7,power,66.648,12.939,58.572,57.48,33.365,27.172,32.133,70.0,42.0
3,Sensor-rich but underfunded,transit_signal_core,transport,68.737,8.331,48.329,60.48,27.545,25.423,33.957,58.0,48.0
3,Sensor-rich but underfunded,stormwater_pump_south,stormwater,50.044,22.662,62.834,46.48,39.104,28.715,26.079,76.0,30.0
3,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,64.112,13.537,58.237,50.48,32.876,27.616,31.411,88.0,38.0
3,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,77.9,2.706,43.986,44.48,21.332,24.452,39.161,74.0,55.0
3,Sensor-rich but underfunded,wastewater_lift_station,wastewater,56.517,18.687,58.325,47.48,35.44,27.6,28.299,68.0,32.0
3,Sensor-rich but underfunded,public_broadband_hub,digital,72.942,5.745,51.008,66.48,27.66,26.134,33.484,80.0,40.0
3,Sensor-rich but underfunded,hospital_access_corridor,transport,58.76,13.243,62.35,39.48,33.054,27.596,29.555,86.0,28.0
4,Sensor-rich but underfunded,bridge_north,transport,59.5,13.987,53.943,38.48,30.421,26.227,30.813,62.0,35.0
4,Sensor-rich but underfunded,water_main_east,water,53.597,20.156,61.695,41.48,36.827,28.363,26.811,82.0,25.0
4,Sensor-rich but underfunded,substation_7,power,65.536,13.362,58.572,57.48,33.597,27.227,31.829,70.0,42.0
4,Sensor-rich but underfunded,transit_signal_core,transport,67.654,8.743,48.329,60.48,27.772,25.477,33.661,58.0,48.0
4,Sensor-rich but underfunded,stormwater_pump_south,stormwater,48.731,23.161,62.834,46.48,39.378,28.78,25.72,76.0,30.0
4,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,62.822,14.027,58.237,50.48,33.146,27.68,31.059,88.0,38.0
4,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,76.539,3.223,43.986,44.48,21.616,24.519,38.789,74.0,55.0
4,Sensor-rich but underfunded,wastewater_lift_station,wastewater,55.361,19.127,58.325,47.48,35.681,27.657,27.983,68.0,32.0
4,Sensor-rich but underfunded,public_broadband_hub,digital,71.927,6.13,51.008,66.48,27.872,26.184,33.207,80.0,40.0
4,Sensor-rich but underfunded,hospital_access_corridor,transport,57.685,13.652,62.35,39.48,33.279,27.649,29.261,86.0,28.0
5,Sensor-rich but underfunded,bridge_north,transport,58.381,14.412,53.943,38.48,30.655,26.282,30.508,62.0,35.0
5,Sensor-rich but underfunded,water_main_east,water,52.502,20.572,61.695,41.48,37.056,28.417,26.512,82.0,25.0
5,Sensor-rich but underfunded,substation_7,power,64.426,13.784,58.572,57.48,33.829,27.281,31.526,70.0,42.0
5,Sensor-rich but underfunded,transit_signal_core,transport,66.573,9.153,48.329,60.48,27.997,25.53,33.366,58.0,48.0
5,Sensor-rich but underfunded,stormwater_pump_south,stormwater,47.421,23.658,62.834,46.48,39.652,28.844,25.362,76.0,30.0
5,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,61.534,14.516,58.237,50.48,33.415,27.743,30.707,88.0,38.0
5,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,75.181,3.739,43.986,44.48,21.9,24.586,38.418,74.0,55.0
5,Sensor-rich but underfunded,wastewater_lift_station,wastewater,54.207,19.565,58.325,47.48,35.922,27.714,27.668,68.0,32.0
5,Sensor-rich but underfunded,public_broadband_hub,digital,70.914,6.515,51.008,66.48,28.084,26.234,32.931,80.0,40.0
5,Sensor-rich but underfunded,hospital_access_corridor,transport,56.612,14.059,62.35,39.48,33.503,27.702,28.968,86.0,28.0
6,Sensor-rich but underfunded,bridge_north,transport,57.265,14.836,53.943,38.48,30.888,26.338,30.203,62.0,35.0
6,Sensor-rich but underfunded,water_main_east,water,51.41,20.987,61.695,41.48,37.284,28.471,26.214,82.0,25.0
6,Sensor-rich but underfunded,substation_7,power,63.319,14.204,58.572,57.48,34.061,27.336,31.223,70.0,42.0
6,Sensor-rich but underfunded,transit_signal_core,transport,65.495,9.563,48.329,60.48,28.223,25.583,33.072,58.0,48.0
6,Sensor-rich but underfunded,stormwater_pump_south,stormwater,46.114,24.155,62.834,46.48,39.925,28.909,25.005,76.0,30.0
6,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,60.25,15.004,58.237,50.48,33.683,27.807,30.356,88.0,38.0
6,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,73.827,4.254,43.986,44.48,22.183,24.653,38.048,74.0,55.0
6,Sensor-rich but underfunded,wastewater_lift_station,wastewater,53.056,20.002,58.325,47.48,36.163,27.771,27.354,68.0,32.0
6,Sensor-rich but underfunded,public_broadband_hub,digital,69.903,6.899,51.008,66.48,28.295,26.284,32.654,80.0,40.0
6,Sensor-rich but underfunded,hospital_access_corridor,transport,55.542,14.466,62.35,39.48,33.727,27.755,28.675,86.0,28.0
7,Sensor-rich but underfunded,bridge_north,transport,56.151,15.259,53.943,38.48,31.121,26.393,29.899,62.0,35.0
7,Sensor-rich but underfunded,water_main_east,water,50.32,21.401,61.695,41.48,37.512,28.525,25.916,82.0,25.0
7,Sensor-rich but underfunded,substation_7,power,62.214,14.624,58.572,57.48,34.292,27.391,30.921,70.0,42.0
7,Sensor-rich but underfunded,transit_signal_core,transport,64.419,9.972,48.329,60.48,28.448,25.636,32.778,58.0,48.0
7,Sensor-rich but underfunded,stormwater_pump_south,stormwater,44.81,24.651,62.834,46.48,40.198,28.973,24.649,76.0,30.0
7,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,58.968,15.491,58.237,50.48,33.951,27.87,30.006,88.0,38.0
7,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,72.475,4.767,43.986,44.48,22.465,24.72,37.679,74.0,55.0
7,Sensor-rich but underfunded,wastewater_lift_station,wastewater,51.908,20.439,58.325,47.48,36.403,27.828,27.04,68.0,32.0
7,Sensor-rich but underfunded,public_broadband_hub,digital,68.895,7.282,51.008,66.48,28.506,26.334,32.379,80.0,40.0
7,Sensor-rich but underfunded,hospital_access_corridor,transport,54.474,14.872,62.35,39.48,33.95,27.807,28.384,86.0,28.0
8,Sensor-rich but underfunded,bridge_north,transport,55.04,15.682,53.943,38.48,31.353,26.447,29.595,62.0,35.0
8,Sensor-rich but underfunded,water_main_east,water,49.233,21.814,61.695,41.48,37.739,28.579,25.619,82.0,25.0
8,Sensor-rich but underfunded,substation_7,power,61.112,15.043,58.572,57.48,34.522,27.445,30.62,70.0,42.0
8,Sensor-rich but underfunded,transit_signal_core,transport,63.346,10.38,48.329,60.48,28.672,25.689,32.485,58.0,48.0
8,Sensor-rich but underfunded,stormwater_pump_south,stormwater,43.509,25.145,62.834,46.48,40.47,29.038,24.293,76.0,30.0
8,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,57.689,15.977,58.237,50.48,34.218,27.933,29.656,88.0,38.0
8,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,71.127,5.28,43.986,44.48,22.747,24.786,37.31,74.0,55.0
8,Sensor-rich but underfunded,wastewater_lift_station,wastewater,50.762,20.874,58.325,47.48,36.642,27.884,26.727,68.0,32.0
8,Sensor-rich but underfunded,public_broadband_hub,digital,67.889,7.664,51.008,66.48,28.716,26.384,32.104,80.0,40.0
8,Sensor-rich but underfunded,hospital_access_corridor,transport,53.408,15.277,62.35,39.48,34.173,27.86,28.093,86.0,28.0
9,Sensor-rich but underfunded,bridge_north,transport,53.931,16.103,53.943,38.48,31.585,26.502,29.292,62.0,35.0
9,Sensor-rich but underfunded,water_main_east,water,48.148,22.226,61.695,41.48,37.966,28.632,25.322,82.0,25.0
9,Sensor-rich but underfunded,substation_7,power,60.012,15.461,58.572,57.48,34.752,27.5,30.32,70.0,42.0
9,Sensor-rich but underfunded,transit_signal_core,transport,62.275,10.787,48.329,60.48,28.896,25.742,32.192,58.0,48.0
9,Sensor-rich but underfunded,stormwater_pump_south,stormwater,42.211,25.638,62.834,46.48,40.741,29.102,23.939,76.0,30.0
9,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,56.413,16.462,58.237,50.48,34.485,27.996,29.308,88.0,38.0
9,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,69.781,5.791,43.986,44.48,23.028,24.853,36.943,74.0,55.0
9,Sensor-rich but underfunded,wastewater_lift_station,wastewater,49.619,21.308,58.325,47.48,36.881,27.941,26.415,68.0,32.0
9,Sensor-rich but underfunded,public_broadband_hub,digital,66.886,8.046,51.008,66.48,28.926,26.433,31.83,80.0,40.0
9,Sensor-rich but underfunded,hospital_access_corridor,transport,52.345,15.681,62.35,39.48,34.395,27.913,27.802,86.0,28.0
10,Sensor-rich but underfunded,bridge_north,transport,52.824,16.524,53.943,38.48,31.816,26.557,28.99,62.0,35.0
10,Sensor-rich but underfunded,water_main_east,water,47.065,22.638,61.695,41.48,38.192,28.686,25.027,82.0,25.0
10,Sensor-rich but underfunded,substation_7,power,58.914,15.878,58.572,57.48,34.981,27.554,30.02,70.0,42.0
10,Sensor-rich but underfunded,transit_signal_core,transport,61.206,11.193,48.329,60.48,29.119,25.795,31.9,58.0,48.0
10,Sensor-rich but underfunded,stormwater_pump_south,stormwater,40.915,26.131,62.834,46.48,41.012,29.166,23.585,76.0,30.0
10,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,55.14,16.946,58.237,50.48,34.751,28.059,28.96,88.0,38.0
10,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,68.438,6.301,43.986,44.48,23.309,24.919,36.576,74.0,55.0
10,Sensor-rich but underfunded,wastewater_lift_station,wastewater,48.478,21.742,58.325,47.48,37.12,27.997,26.103,68.0,32.0
10,Sensor-rich but underfunded,public_broadband_hub,digital,65.884,8.426,51.008,66.48,29.135,26.483,31.556,80.0,40.0
10,Sensor-rich but underfunded,hospital_access_corridor,transport,51.284,16.084,62.35,39.48,34.617,27.965,27.512,86.0,28.0
11,Sensor-rich but underfunded,bridge_north,transport,51.72,16.943,53.943,38.48,32.047,26.611,28.688,62.0,35.0
11,Sensor-rich but underfunded,water_main_east,water,45.985,23.048,61.695,41.48,38.418,28.739,24.732,82.0,25.0
11,Sensor-rich but underfunded,substation_7,power,57.819,16.294,58.572,57.48,35.21,27.608,29.721,70.0,42.0
11,Sensor-rich but underfunded,transit_signal_core,transport,60.14,11.598,48.329,60.48,29.342,25.848,31.609,58.0,48.0
11,Sensor-rich but underfunded,stormwater_pump_south,stormwater,39.623,26.622,62.834,46.48,41.282,29.23,23.232,76.0,30.0
11,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,53.87,17.429,58.237,50.48,35.017,28.122,28.613,88.0,38.0
11,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,67.099,6.81,43.986,44.48,23.589,24.985,36.21,74.0,55.0
11,Sensor-rich but underfunded,wastewater_lift_station,wastewater,47.34,22.174,58.325,47.48,37.358,28.053,25.792,68.0,32.0
11,Sensor-rich but underfunded,public_broadband_hub,digital,64.885,8.806,51.008,66.48,29.344,26.532,31.283,80.0,40.0
11,Sensor-rich but underfunded,hospital_access_corridor,transport,50.225,16.486,62.35,39.48,34.838,28.017,27.223,86.0,28.0
12,Sensor-rich but underfunded,bridge_north,transport,50.619,17.362,53.943,38.48,32.277,26.666,28.387,62.0,35.0
12,Sensor-rich but underfunded,water_main_east,water,44.907,23.458,61.695,41.48,38.643,28.792,24.437,82.0,25.0
12,Sensor-rich but underfunded,substation_7,power,56.726,16.71,58.572,57.48,35.438,27.662,29.422,70.0,42.0
12,Sensor-rich but underfunded,transit_signal_core,transport,59.076,12.002,48.329,60.48,29.564,25.9,31.318,58.0,48.0
12,Sensor-rich but underfunded,stormwater_pump_south,stormwater,38.333,27.112,62.834,46.48,41.551,29.293,22.879,76.0,30.0
12,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,52.602,17.91,58.237,50.48,35.282,28.184,28.267,88.0,38.0
12,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,65.762,7.318,43.986,44.48,23.868,25.051,35.845,74.0,55.0
12,Sensor-rich but underfunded,wastewater_lift_station,wastewater,46.205,22.606,58.325,47.48,37.595,28.109,25.482,68.0,32.0
12,Sensor-rich but underfunded,public_broadband_hub,digital,63.888,9.185,51.008,66.48,29.553,26.582,31.011,80.0,40.0
12,Sensor-rich but underfunded,hospital_access_corridor,transport,49.169,16.888,62.35,39.48,35.059,28.07,26.934,86.0,28.0
13,Sensor-rich but underfunded,bridge_north,transport,49.52,17.779,53.943,38.48,32.507,26.72,28.087,62.0,35.0
13,Sensor-rich but underfunded,water_main_east,water,43.832,23.866,61.695,41.48,38.868,28.845,24.143,82.0,25.0
13,Sensor-rich but underfunded,substation_7,power,55.636,17.124,58.572,57.48,35.666,27.716,29.124,70.0,42.0
13,Sensor-rich but underfunded,transit_signal_core,transport,58.015,12.406,48.329,60.48,29.786,25.953,31.028,58.0,48.0
13,Sensor-rich but underfunded,stormwater_pump_south,stormwater,37.046,27.601,62.834,46.48,41.82,29.357,22.528,76.0,30.0
13,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,51.337,18.391,58.237,50.48,35.546,28.247,27.921,88.0,38.0
13,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,64.428,7.825,43.986,44.48,24.147,25.117,35.48,74.0,55.0
13,Sensor-rich but underfunded,wastewater_lift_station,wastewater,45.071,23.036,58.325,47.48,37.832,28.165,25.172,68.0,32.0
13,Sensor-rich but underfunded,public_broadband_hub,digital,62.893,9.563,51.008,66.48,29.761,26.631,30.739,80.0,40.0
13,Sensor-rich but underfunded,hospital_access_corridor,transport,48.115,17.288,62.35,39.48,35.279,28.122,26.647,86.0,28.0
14,Sensor-rich but underfunded,bridge_north,transport,48.423,18.196,53.943,38.48,32.736,26.774,27.787,62.0,35.0
14,Sensor-rich but underfunded,water_main_east,water,42.759,24.274,61.695,41.48,39.092,28.898,23.85,82.0,25.0
14,Sensor-rich but underfunded,substation_7,power,54.548,17.537,58.572,57.48,35.894,27.769,28.827,70.0,42.0
14,Sensor-rich but underfunded,transit_signal_core,transport,56.956,12.808,48.329,60.48,30.008,26.005,30.739,58.0,48.0
14,Sensor-rich but underfunded,stormwater_pump_south,stormwater,35.762,28.089,62.834,46.48,42.089,29.42,22.177,76.0,30.0
14,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,50.075,18.871,58.237,50.48,35.81,28.309,27.576,88.0,38.0
14,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,63.098,8.331,43.986,44.48,24.425,25.183,35.117,74.0,55.0
14,Sensor-rich but underfunded,wastewater_lift_station,wastewater,43.941,23.466,58.325,47.48,38.068,28.221,24.863,68.0,32.0
14,Sensor-rich but underfunded,public_broadband_hub,digital,61.9,9.94,51.008,66.48,29.968,26.68,30.468,80.0,40.0
14,Sensor-rich but underfunded,hospital_access_corridor,transport,47.063,17.688,62.35,39.48,35.499,28.174,26.359,86.0,28.0
15,Sensor-rich but underfunded,bridge_north,transport,47.329,18.612,53.943,38.48,32.965,26.828,27.488,62.0,35.0
15,Sensor-rich but underfunded,water_main_east,water,41.689,24.681,61.695,41.48,39.316,28.951,23.558,82.0,25.0
15,Sensor-rich but underfunded,substation_7,power,53.463,17.95,58.572,57.48,36.121,27.823,28.531,70.0,42.0
15,Sensor-rich but underfunded,transit_signal_core,transport,55.899,13.21,48.329,60.48,30.228,26.057,30.45,58.0,48.0
15,Sensor-rich but underfunded,stormwater_pump_south,stormwater,34.481,28.576,62.834,46.48,42.356,29.483,21.827,76.0,30.0
15,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,48.816,19.349,58.237,50.48,36.073,28.371,27.232,88.0,38.0
15,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,61.77,8.835,43.986,44.48,24.703,25.249,34.754,74.0,55.0
15,Sensor-rich but underfunded,wastewater_lift_station,wastewater,42.813,23.895,58.325,47.48,38.304,28.277,24.555,68.0,32.0
15,Sensor-rich but underfunded,public_broadband_hub,digital,60.91,10.317,51.008,66.48,30.175,26.729,30.197,80.0,40.0
15,Sensor-rich but underfunded,hospital_access_corridor,transport,46.014,18.087,62.35,39.48,35.718,28.225,26.073,86.0,28.0
16,Sensor-rich but underfunded,bridge_north,transport,46.237,19.027,53.943,38.48,33.193,26.882,27.19,62.0,35.0
16,Sensor-rich but underfunded,water_main_east,water,40.62,25.087,61.695,41.48,39.539,29.004,23.266,82.0,25.0
16,Sensor-rich but underfunded,substation_7,power,52.38,18.361,58.572,57.48,36.347,27.877,28.235,70.0,42.0
16,Sensor-rich but underfunded,transit_signal_core,transport,54.844,13.61,48.329,60.48,30.449,26.109,30.162,58.0,48.0
16,Sensor-rich but underfunded,stormwater_pump_south,stormwater,33.203,29.061,62.834,46.48,42.623,29.547,21.478,76.0,30.0
16,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,47.56,19.826,58.237,50.48,36.335,28.433,26.889,88.0,38.0
16,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,60.445,9.339,43.986,44.48,24.98,25.314,34.392,74.0,55.0
16,Sensor-rich but underfunded,wastewater_lift_station,wastewater,41.687,24.322,58.325,47.48,38.539,28.332,24.248,68.0,32.0
16,Sensor-rich but underfunded,public_broadband_hub,digital,59.922,10.692,51.008,66.48,30.381,26.777,29.927,80.0,40.0
16,Sensor-rich but underfunded,hospital_access_corridor,transport,44.967,18.484,62.35,39.48,35.937,28.277,25.787,86.0,28.0
17,Sensor-rich but underfunded,bridge_north,transport,45.148,19.44,53.943,38.48,33.42,26.936,26.893,62.0,35.0
17,Sensor-rich but underfunded,water_main_east,water,39.555,25.492,61.695,41.48,39.762,29.057,22.975,82.0,25.0
17,Sensor-rich but underfunded,substation_7,power,51.299,18.772,58.572,57.48,36.573,27.93,27.939,70.0,42.0
17,Sensor-rich but underfunded,transit_signal_core,transport,53.792,14.01,48.329,60.48,30.669,26.161,29.874,58.0,48.0
17,Sensor-rich but underfunded,stormwater_pump_south,stormwater,31.927,29.546,62.834,46.48,42.89,29.61,21.129,76.0,30.0
17,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,46.307,20.303,58.237,50.48,36.597,28.495,26.547,88.0,38.0
17,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,59.123,9.841,43.986,44.48,25.256,25.379,34.031,74.0,55.0
17,Sensor-rich but underfunded,wastewater_lift_station,wastewater,40.564,24.749,58.325,47.48,38.774,28.388,23.941,68.0,32.0
17,Sensor-rich but underfunded,public_broadband_hub,digital,58.936,11.067,51.008,66.48,30.588,26.826,29.658,80.0,40.0
17,Sensor-rich but underfunded,hospital_access_corridor,transport,43.923,18.881,62.35,39.48,36.155,28.329,25.501,86.0,28.0
18,Sensor-rich but underfunded,bridge_north,transport,44.061,19.854,53.943,38.48,33.648,26.99,26.596,62.0,35.0
18,Sensor-rich but underfunded,water_main_east,water,38.491,25.896,61.695,41.48,39.984,29.109,22.684,82.0,25.0
18,Sensor-rich but underfunded,substation_7,power,50.221,19.182,58.572,57.48,36.798,27.983,27.645,70.0,42.0
18,Sensor-rich but underfunded,transit_signal_core,transport,52.743,14.409,48.329,60.48,30.888,26.213,29.588,58.0,48.0
18,Sensor-rich but underfunded,stormwater_pump_south,stormwater,30.655,30.03,62.834,46.48,43.156,29.673,20.782,76.0,30.0
18,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,45.056,20.778,58.237,50.48,36.859,28.557,26.205,88.0,38.0
18,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,57.804,10.342,43.986,44.48,25.532,25.445,33.671,74.0,55.0
18,Sensor-rich but underfunded,wastewater_lift_station,wastewater,39.444,25.175,58.325,47.48,39.008,28.443,23.635,68.0,32.0
18,Sensor-rich but underfunded,public_broadband_hub,digital,57.952,11.441,51.008,66.48,30.793,26.875,29.389,80.0,40.0
18,Sensor-rich but underfunded,hospital_access_corridor,transport,42.881,19.277,62.35,39.48,36.373,28.38,25.217,86.0,28.0
19,Sensor-rich but underfunded,bridge_north,transport,42.977,20.266,53.943,38.48,33.874,27.043,26.299,62.0,35.0
19,Sensor-rich but underfunded,water_main_east,water,37.43,26.299,61.695,41.48,40.206,29.162,22.394,82.0,25.0
19,Sensor-rich but underfunded,substation_7,power,49.146,19.59,58.572,57.48,37.023,28.036,27.351,70.0,42.0
19,Sensor-rich but underfunded,transit_signal_core,transport,51.695,14.807,48.329,60.48,31.107,26.265,29.302,58.0,48.0
19,Sensor-rich but underfunded,stormwater_pump_south,stormwater,29.385,30.512,62.834,46.48,43.421,29.735,20.435,76.0,30.0
19,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,43.808,21.252,58.237,50.48,37.12,28.619,25.864,88.0,38.0
19,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,56.488,10.842,43.986,44.48,25.807,25.51,33.311,74.0,55.0
19,Sensor-rich but underfunded,wastewater_lift_station,wastewater,38.326,25.6,58.325,47.48,39.242,28.499,23.329,68.0,32.0
19,Sensor-rich but underfunded,public_broadband_hub,digital,56.97,11.814,51.008,66.48,30.998,26.923,29.121,80.0,40.0
19,Sensor-rich but underfunded,hospital_access_corridor,transport,41.841,19.672,62.35,39.48,36.59,28.432,24.932,86.0,28.0
20,Sensor-rich but underfunded,bridge_north,transport,41.895,20.677,53.943,38.48,34.1,27.097,26.004,62.0,35.0
20,Sensor-rich but underfunded,water_main_east,water,36.371,26.701,61.695,41.48,40.427,29.214,22.105,82.0,25.0
20,Sensor-rich but underfunded,substation_7,power,48.072,19.998,58.572,57.48,37.247,28.089,27.058,70.0,42.0
20,Sensor-rich but underfunded,transit_signal_core,transport,50.65,15.204,48.329,60.48,31.325,26.317,29.016,58.0,48.0
20,Sensor-rich but underfunded,stormwater_pump_south,stormwater,28.118,30.993,62.834,46.48,43.686,29.798,20.089,76.0,30.0
20,Sensor-rich but underfunded,cooling_center_grid_node,public_facility,42.563,21.725,58.237,50.48,37.38,28.68,25.524,88.0,38.0
20,Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,55.175,11.341,43.986,44.48,26.081,25.574,32.952,74.0,55.0
20,Sensor-rich but underfunded,wastewater_lift_station,wastewater,37.21,26.024,58.325,47.48,39.475,28.554,23.024,68.0,32.0
20,Sensor-rich but underfunded,public_broadband_hub,digital,55.991,12.186,51.008,66.48,31.203,26.972,28.854,80.0,40.0
20,Sensor-rich but underfunded,hospital_access_corridor,transport,40.803,20.067,62.35,39.48,36.807,28.483,24.649,86.0,28.0
0,Predictive maintenance strategy,bridge_north,transport,64.0,5.971,56.108,21.94,25.116,40.824,50.289,62.0,35.0
0,Predictive maintenance strategy,water_main_east,water,58.0,11.937,64.638,24.94,31.682,43.325,46.294,82.0,25.0
0,Predictive maintenance strategy,substation_7,power,70.0,4.512,61.038,40.94,27.939,41.871,51.413,70.0,42.0
0,Predictive maintenance strategy,transit_signal_core,transport,72.0,0.0,50.42,43.94,22.041,39.908,53.205,58.0,48.0
0,Predictive maintenance strategy,stormwater_pump_south,stormwater,54.0,14.03,65.179,29.94,33.523,43.476,45.521,76.0,30.0
0,Predictive maintenance strategy,cooling_center_grid_node,public_facility,68.0,4.88,61.213,33.94,27.502,42.622,50.842,88.0,38.0
0,Predictive maintenance strategy,air_quality_sensor_cluster,environmental,82.0,0.0,46.449,27.94,19.051,39.96,57.805,74.0,55.0
0,Predictive maintenance strategy,wastewater_lift_station,wastewater,60.0,10.525,60.613,30.94,30.097,42.286,47.571,68.0,32.0
0,Predictive maintenance strategy,public_broadband_hub,digital,76.0,0.0,54.118,49.94,23.935,41.399,52.325,80.0,40.0
0,Predictive maintenance strategy,hospital_access_corridor,transport,62.0,5.636,65.545,22.94,28.334,42.724,48.696,86.0,28.0
1,Predictive maintenance strategy,bridge_north,transport,63.7,6.085,56.108,21.94,25.179,40.839,50.207,62.0,35.0
1,Predictive maintenance strategy,water_main_east,water,57.753,12.031,64.638,24.94,31.734,43.338,46.226,82.0,25.0
1,Predictive maintenance strategy,substation_7,power,69.717,4.619,61.038,40.94,27.998,41.885,51.336,70.0,42.0
1,Predictive maintenance strategy,transit_signal_core,transport,71.72,0.092,50.42,43.94,22.092,39.919,53.13,58.0,48.0
1,Predictive maintenance strategy,stormwater_pump_south,stormwater,53.563,14.197,65.179,29.94,33.615,43.497,45.401,76.0,30.0
1,Predictive maintenance strategy,cooling_center_grid_node,public_facility,67.585,5.038,61.213,33.94,27.589,42.643,50.728,88.0,38.0
1,Predictive maintenance strategy,air_quality_sensor_cluster,environmental,81.525,0.0,46.449,27.94,19.051,39.96,57.7,74.0,55.0
1,Predictive maintenance strategy,wastewater_lift_station,wastewater,59.683,10.646,60.613,30.94,30.164,42.302,47.485,68.0,32.0
1,Predictive maintenance strategy,public_broadband_hub,digital,75.817,0.0,54.118,49.94,23.935,41.399,52.285,80.0,40.0
1,Predictive maintenance strategy,hospital_access_corridor,transport,61.771,5.723,65.545,22.94,28.382,42.735,48.633,86.0,28.0
2,Predictive maintenance strategy,bridge_north,transport,63.402,6.199,56.108,21.94,25.241,40.854,50.125,62.0,35.0
2,Predictive maintenance strategy,water_main_east,water,57.506,12.125,64.638,24.94,31.786,43.35,46.159,82.0,25.0
