year,scenario,policy_active,emissions_gtco2,co2_ppm,forcing_wm2,temperature_anomaly_c,ocean_heat_index,effective_sink_fraction,hazard_index,residual_vulnerability,risk_index
42,Justice-centered transition,True,2.761,466.047,2.726,2.775,3.867,0.429,66.607,14.2,5.202
43,Justice-centered transition,True,2.581,466.241,2.728,2.786,3.963,0.429,66.875,14.2,5.223
44,Justice-centered transition,True,2.413,466.423,2.73,2.797,4.058,0.429,67.135,14.2,5.243
45,Justice-centered transition,True,2.257,466.594,2.732,2.808,4.154,0.428,67.387,14.2,5.263
46,Justice-centered transition,True,2.11,466.754,2.734,2.818,4.25,0.428,67.632,14.2,5.282
47,Justice-centered transition,True,1.973,466.903,2.736,2.828,4.346,0.427,67.871,14.2,5.301
48,Justice-centered transition,True,1.845,467.044,2.737,2.838,4.441,0.427,68.103,14.2,5.319
49,Justice-centered transition,True,1.725,467.176,2.739,2.847,4.537,0.426,68.329,14.2,5.336
50,Justice-centered transition,True,1.613,467.3,2.74,2.856,4.633,0.426,68.549,14.2,5.354
51,Justice-centered transition,True,1.508,467.416,2.742,2.865,4.729,0.426,68.765,14.2,5.371
52,Justice-centered transition,True,1.41,467.525,2.743,2.874,4.825,0.425,68.976,14.2,5.387
53,Justice-centered transition,True,1.318,467.628,2.744,2.883,4.921,0.425,69.182,14.2,5.403
54,Justice-centered transition,True,1.232,467.724,2.745,2.891,5.017,0.425,69.384,14.2,5.419
55,Justice-centered transition,True,1.152,467.814,2.746,2.899,5.113,0.424,69.582,14.2,5.434
56,Justice-centered transition,True,1.077,467.899,2.747,2.907,5.209,0.424,69.776,14.2,5.45
57,Justice-centered transition,True,1.007,467.979,2.748,2.915,5.306,0.424,69.967,14.2,5.464
58,Justice-centered transition,True,0.942,468.054,2.749,2.923,5.402,0.423,70.155,14.2,5.479
59,Justice-centered transition,True,0.881,468.124,2.75,2.931,5.498,0.423,70.339,14.2,5.493
60,Justice-centered transition,True,0.823,468.191,2.75,2.938,5.594,0.423,70.521,14.2,5.508
61,Justice-centered transition,True,0.77,468.253,2.751,2.946,5.691,0.422,70.7,14.2,5.522
62,Justice-centered transition,True,0.72,468.312,2.752,2.953,5.787,0.422,70.877,14.2,5.535
63,Justice-centered transition,True,0.673,468.367,2.752,2.96,5.883,0.422,71.051,14.2,5.549
64,Justice-centered transition,True,0.629,468.419,2.753,2.968,5.98,0.422,71.223,14.2,5.563
65,Justice-centered transition,True,0.588,468.468,2.754,2.975,6.076,0.421,71.393,14.2,5.576
66,Justice-centered transition,True,0.55,468.515,2.754,2.982,6.172,0.421,71.561,14.2,5.589
67,Justice-centered transition,True,0.514,468.559,2.755,2.989,6.269,0.421,71.728,14.2,5.602
68,Justice-centered transition,True,0.481,468.6,2.755,2.996,6.365,0.42,71.893,14.2,5.615
69,Justice-centered transition,True,0.45,468.639,2.755,3.002,6.462,0.42,72.056,14.2,5.628
70,Justice-centered transition,True,0.42,468.676,2.756,3.009,6.558,0.42,72.218,14.2,5.64
71,Justice-centered transition,True,0.393,468.711,2.756,3.016,6.655,0.42,72.378,14.2,5.653
72,Justice-centered transition,True,0.368,468.744,2.757,3.022,6.751,0.419,72.537,14.2,5.665
73,Justice-centered transition,True,0.344,468.775,2.757,3.029,6.848,0.419,72.695,14.2,5.678
74,Justice-centered transition,True,0.321,468.805,2.757,3.036,6.944,0.419,72.852,14.2,5.69
75,Justice-centered transition,True,0.3,468.833,2.758,3.042,7.041,0.419,73.008,14.2,5.702
76,Justice-centered transition,True,0.281,468.859,2.758,3.048,7.137,0.418,73.163,14.2,5.714
77,Justice-centered transition,True,0.263,468.885,2.758,3.055,7.234,0.418,73.317,14.2,5.726
78,Justice-centered transition,True,0.246,468.909,2.759,3.061,7.33,0.418,73.47,14.2,5.738
79,Justice-centered transition,True,0.23,468.932,2.759,3.068,7.427,0.418,73.622,14.2,5.75
80,Justice-centered transition,True,0.215,468.954,2.759,3.074,7.523,0.417,73.774,14.2,5.762
